Distance_(mm),Gray_Value
18.0509,255.000
18.0645,255.000
18.0781,255.000
18.0917,255.000
18.1052,255.000
18.1188,255.000
18.1324,255.000
18.1459,255.000
18.1595,255.000
18.1731,255.000
18.1867,255.000
18.2002,255.000
18.2138,255.000
18.2274,255.000
18.2409,255.000
18.2545,255.000
18.2681,255.000
18.2817,255.000
18.2952,255.000
18.3088,255.000
18.3224,255.000
18.3360,255.000
18.3495,255.000
18.3631,255.000
18.3767,255.000
18.3902,255.000
18.4038,255.000
18.4174,255.000
18.4310,255.000
18.4445,255.000
18.4581,255.000
18.4717,255.000
18.4852,255.000
18.4988,255.000
18.5124,255.000
18.5260,255.000
18.5395,255.000
18.5531,255.000
18.5667,255.000
18.5802,255.000
18.5938,255.000
18.6074,255.000
18.6210,254.998
18.6345,254.896
18.6481,254.656
18.6617,254.533
18.6753,254.761
18.6888,254.643
18.7024,254.532
18.7160,254.617
18.7295,254.694
18.7431,254.679
18.7567,254.641
18.7703,254.287
18.7838,253.661
18.7974,252.960
18.8110,252.261
18.8245,251.817
18.8381,251.513
18.8517,251.412
18.8653,251.434
18.8788,251.021
18.8924,250.968
18.9060,250.710
18.9196,249.995
18.9331,249.523
18.9467,249.178
18.9603,248.692
18.9738,248.003
18.9874,247.187
19.0010,246.582
19.0146,246.079
19.0281,244.594
19.0417,242.278
19.0553,239.954
19.0688,238.577
19.0824,237.991
19.0960,238.064
19.1096,237.875
19.1231,237.190
19.1367,236.334
19.1503,235.521
19.1639,235.901
19.1774,236.658
19.1910,237.749
19.2046,238.694
19.2181,239.581
19.2317,240.048
19.2453,239.547
19.2589,239.084
19.2724,238.960
19.2860,239.324
19.2996,238.922
19.3131,238.576
19.3267,238.240
19.3403,238.935
19.3539,240.597
19.3674,242.441
19.3810,244.150
19.3946,244.838
19.4081,245.327
19.4217,245.118
19.4353,244.461
19.4489,243.009
19.4624,241.162
19.4760,239.554
19.4896,238.827
19.5032,238.836
19.5167,239.771
19.5303,240.898
19.5439,242.662
19.5574,244.454
19.5710,245.560
19.5846,246.809
19.5982,247.362
19.6117,247.729
19.6253,248.155
19.6389,248.768
19.6524,249.672
19.6660,249.609
19.6796,248.830
19.6932,247.186
19.7067,245.736
19.7203,244.979
19.7339,244.692
19.7475,244.600
19.7610,244.513
19.7746,244.982
19.7882,246.402
19.8017,248.256
19.8153,249.849
19.8289,250.258
19.8425,250.586
19.8560,250.454
19.8696,249.834
19.8832,248.358
19.8967,247.671
19.9103,247.382
19.9239,247.546
19.9375,248.181
19.9510,248.590
19.9646,247.936
19.9782,246.658
19.9918,245.379
20.0053,243.892
20.0189,243.178
20.0325,242.869
20.0460,243.287
20.0596,244.264
20.0732,245.339
20.0868,246.484
20.1003,247.557
20.1139,248.596
20.1275,249.378
20.1410,250.076
20.1546,249.449
20.1682,247.882
20.1818,246.408
20.1953,244.580
20.2089,243.615
20.2225,242.982
20.2360,242.467
20.2496,242.257
20.2632,242.217
20.2768,242.577
20.2903,242.403
20.3039,242.639
20.3175,242.608
20.3311,242.883
20.3446,243.091
20.3582,243.488
20.3718,243.829
20.3853,243.902
20.3989,243.851
20.4125,243.780
20.4261,243.920
20.4396,244.404
20.4532,244.973
20.4668,245.513
20.4803,245.610
20.4939,245.529
20.5075,245.250
20.5211,244.947
20.5346,245.013
20.5482,245.498
20.5618,246.704
20.5754,247.860
20.5889,248.304
20.6025,248.363
20.6161,248.479
20.6296,248.632
20.6432,248.857
20.6568,249.177
20.6704,248.948
20.6839,248.520
20.6975,248.154
20.7111,247.864
20.7246,247.311
20.7382,246.100
20.7518,245.006
20.7654,243.970
20.7789,243.628
20.7925,243.776
20.8061,243.260
20.8197,242.714
20.8332,242.373
20.8468,241.669
20.8604,241.077
20.8739,240.748
20.8875,239.960
20.9011,238.910
20.9147,238.002
20.9282,237.135
20.9418,236.983
20.9554,237.173
20.9689,238.173
20.9825,239.663
